household_id,TAZ,income,hhsize,HHT,auto_ownership,num_workers,sample_rate,chunk_id,income_in_thousands,income_segment,median_value_of_time,hh_value_of_time,num_non_workers,num_drivers,num_adults,num_children,num_young_children,num_children_5_to_15,num_children_16_to_17,num_college_age,num_young_adults,non_family,family,home_is_urban,home_is_rural,hh_work_auto_savings_ratio,num_under16_not_at_school,num_travel_active,num_travel_active_adults,num_travel_active_preschoolers,num_travel_active_children,num_travel_active_non_preschoolers,participates_in_jtf_model,joint_tour_frequency,num_hh_joint_tours,in_Zone
14065,957,40776,2,3,0,1,1,14064,40.776,2,8.81,1.5548384344791755,1,2,2,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,0.16633335,0,2,2,0,0,2,TRUE,0_tours,0,TRUE
72041,969,39293,2,3,0,1,1,72040,39.293,2,8.81,5.183665948823386,1,2,2,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,-0.57054836,0,2,2,0,0,2,TRUE,0_tours,0,TRUE
18106,959,7252,4,1,0,0,1,18105,7.252,1,6.01,9.450576707178662,4,3,3,1,0,1,0,1,0,FALSE,TRUE,FALSE,FALSE,0,0,4,3,0,1,4,TRUE,0_tours,0,TRUE
72106,969,0,1,6,1,-8,1,72105,0,1,6.01,2.749217766611751,9,1,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,-0.008233334,0,1,1,0,0,1,FALSE,0_tours,0,TRUE
18203,959,337130,3,1,1,0,1,18202,337.13,4,12.86,12.18806745584236,3,3,3,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,0,0,3,3,0,0,3,TRUE,1_Disc,1,TRUE
72411,972,0,1,4,1,-8,1,72410,0,1,6.01,1,9,1,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,-0.15313667,0,1,1,0,0,1,FALSE,0_tours,0,TRUE
18292,959,139133,3,1,0,2,1,18291,139.133,4,12.86,12.04236775468435,1,3,2,1,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,-0.18072332,0,3,2,0,1,3,TRUE,0_tours,0,TRUE
72508,983,0,1,4,1,-8,1,72507,0,1,6.01,5.670323988317459,9,1,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,-0.11758334,0,1,1,0,0,1,FALSE,0_tours,0,TRUE
18373,959,66387,2,3,2,1,1,18372,66.387,3,10.44,1.6522451751599345,1,2,2,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,1,0,2,2,0,0,2,TRUE,0_tours,0,TRUE
72597,984,701,2,3,0,1,1,72596,0.701,1,6.01,8.306249556120573,1,1,1,1,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,-0.046901666,0,2,1,0,1,2,TRUE,0_tours,0,TRUE
18446,959,221581,2,1,2,1,1,18445,221.581,4,12.86,12.514197367471748,1,2,2,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,1,0,2,2,0,0,2,TRUE,0_tours,0,TRUE
72678,984,0,1,6,1,-8,1,72677,0,1,6.01,17.883074499405073,9,1,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,-0.06720833,0,1,1,0,0,1,FALSE,0_tours,0,TRUE
18519,959,37381,2,3,0,0,1,18518,37.381,2,8.81,8.996497225479166,2,2,2,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,0,0,1,1,0,0,1,FALSE,0_tours,0,TRUE
72751,984,0,1,6,1,-8,1,72750,0,1,6.01,16.316538201890015,9,1,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,1,0,1,1,0,0,1,FALSE,0_tours,0,TRUE
18600,959,29161,2,2,0,0,1,18599,29.161,1,6.01,4.329329949614061,2,2,2,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,0,0,2,2,0,0,2,TRUE,0_tours,0,TRUE
72832,987,31,4,1,0,1,1,72831,0.031,1,6.01,2.5085650601842397,3,2,2,2,1,1,0,0,2,FALSE,TRUE,FALSE,FALSE,-0.03286,1,3,2,1,1,2,TRUE,0_tours,0,TRUE
1,9,98020,5,1,4,3,1,0,98.02,3,10.44,7.30783826942201,2,4,3,2,0,1,1,0,1,FALSE,TRUE,TRUE,FALSE,3,0,5,3,0,2,5,TRUE,1_Shop,1,FALSE
8001,118,56609,4,1,2,2,1,8000,56.609,2,8.81,7.7981765510683445,2,3,3,1,0,1,0,1,0,FALSE,TRUE,TRUE,FALSE,-0.66097,1,4,3,0,1,4,TRUE,2_MV,2,FALSE
16025,1039,128623,6,1,3,3,1,16024,128.623,4,12.86,16.33446546408252,3,5,5,1,0,1,0,2,1,FALSE,TRUE,FALSE,FALSE,0.32142663,1,5,4,0,1,5,TRUE,0_tours,0,FALSE
25593,1065,233497,3,1,0,1,1,25592,233.497,4,12.86,14.565205086744287,2,3,3,0,0,0,0,1,0,FALSE,TRUE,FALSE,FALSE,-0.058511667,0,3,3,0,0,3,TRUE,1_Shop,1,FALSE
33593,1057,0,1,6,0,-8,1,33592,0,1,6.01,2.317559406862727,9,1,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,0,1,1,0,0,1,FALSE,0_tours,0,FALSE
